Location,Address,24 Hours,Mon-Fri,Sat,Latitude,Longitude,Closest_Circle_K_Add,Circle_K_Latitude,Circle_K_Longitude,Distance_km,Closest_Circle_K_Loc
Central,Shop No. HOK10 at MTR Hong Kong Station,,Monday to Friday: 0700-2300,Saturday: 0700-2300,22.284377,114.158056,Kiosk No. CEN E7 MTR Central Station,22.2819989,114.1576766,0.2662236487143253,Central
Sheung Wan,"Shop B, Ground Floor, No. 106 Jervois Street, Sheung Wan, Hong Kong",24 Hours,,,22.285316,114.1506912,"Shop 11, 12 and 13, G/F., Western Market, 323 Des Voeux Road, Sheung Wan, Hong Kong",22.287287,114.150392,0.2204242288919337,Sheung Wan
Central,"Shop C, G/F & Cockloft, Nos. 36, 36A & 36B Staunton Street, Nos. 63-63A Peel Street, Hong Kong",24 Hours,,,22.282406,114.1521434,"Shop No.1 G/F., & Open Yard Nos.10-16 Cochrane Street, Hong Kong",22.2831647,114.1546298,0.2696603403140972,Central
Sai Wan Ho,Shop No. SWH 8 at MTR Sai Wan Ho Station,,Monday to Friday: 0700-2300,Saturday: 0700-2300,22.2820984,114.2220997,"Shop B G/F., Nos 106-108 Shau Kei Wan Road, Hong Kong",22.2821321,114.2216237,0.0491967068522566,Shau Kei Wan
Chai Wan,"Shop 1C-1 in the Portion of Shop 1C of and Portion of Shop 2C, Level 5, Commercial Block, Greenwood Terrace, No. 16 Tai Man Street, Chai Wan, Hong Kong",24 Hours,,,22.2674969,114.2350149,"Shop 3A and Portion of Shop 3B on Level 5 of The Commercial Block,No. 16 Tai Man Street, Greenwood Terrace",22.26686,114.2351954,0.0729388332111506,Chai Wan
Tai Koo Shing,"Shop No. G901C, G/F, Nam Hoi Mansion (Tower 54), No. 2 Tai Wing Avenue, Tai Koo Shing, Hong Kong",,Monday to Friday: 0700-2300,Saturday: 0700-2300,22.286721,114.217477,"KIOSK NO. TAK9, Tai Koo MTR Station",22.28465,114.21636,0.2565990419167933,Taikoo
Causeway Bay,"Shop Nos. 22 & 26 at G/F & Living Quarter at 1/F, Block 6, Tsuen Wing Lau, Lai Tak Tsuen, Tai Hang, Hong Kong",24 Hours,,,22.2775917,114.1947926,KIOSK TIH 2 at Tin Hau MTR Station,22.2824215,114.1917258,0.6212320932635084,Tin Hau
Causeway Bay,"Shop No. 2, G/F, Yan Wo Yuet Building, Nos. 432-436 Hennessy Road, Causeway Bay, Hong Kong",24 Hours,,,22.2792596,114.1815795,"G/F & Cockloft, 5 Canal Road East, Hong Kong",22.2787376,114.1814101,0.0603820798450868,Wanchai
Wan Chai,"Shop No. 2, G/F, Fu Lok Building, Nos. 64, 66, 68, 70 and 70A Stone Nullah Lane, Wan Chai, Hong Kong",24 Hours,,,22.274132,114.174181,"Kiosk No.WAC4, Wanchai MTR II",22.276022,114.1751471,0.2317648606170368,Wanchai
Western,"Shop B, G/F, Ka Ming Building, No. 56 Belcher’s Street, Kennedy Town, Western, Hong Kong",,Monday to Friday: 0700-2330,Saturday: 0700-2330,22.2825522,114.12897,"Shop 2C on Ground Floor, Harbour View Garden Tower III, 2 Catchick Street, Hong Kong.",22.2833392,114.1293274,0.0946115364084548,Sai Wan
Central,"G/F, No. 41 D’Aguilar Street, Central, Hong Kong",,Monday to Friday: 0900-2300(mon-thu) 0900-0200(fri),Saturday: 0900-0200,22.2805998,114.1549962,"Shop E , G/F, No. 10 D’Aguilar Street, Yip Fung Building, Nos. 2, 4, 6, 8 & 10 D’Aguilar Street, Hong Kong",22.2813798,114.1562058,0.1516572568795147,Central
Central,"Concession No. HOK 23A, Level L3 at MTR Hong Kong Station",,Monday to Friday: 0700-0000,Saturday: 0700-0000,22.284377,114.158056,Kiosk No. CEN E7 MTR Central Station,22.2819989,114.1576766,0.2662236487143253,Central
Central,"Concession No. HOK 57, Level L3 at MTR Hong Kong Station",,Monday to Friday: 0700-2300,Saturday: 0700-2300,22.284377,114.158056,Kiosk No. CEN E7 MTR Central Station,22.2819989,114.1576766,0.2662236487143253,Central
Central,"Ground Floor, No. 41 Wyndham Street, Central, Hong Kong",24 Hours,,,22.2806209,114.1550014,"Shop E , G/F, No. 10 D’Aguilar Street, Yip Fung Building, Nos. 2, 4, 6, 8 & 10 D’Aguilar Street, Hong Kong",22.2813798,114.1562058,0.1498947693807277,Central
Wan Chai,"Shop No. 1 & No. 6, G/F, Fu Kar Building, Nos. 222-230 Johnston Road & Nos. 1A-1C Mallory Street, Wan Chai, Hong Kong",24 Hours,,,22.2775125,114.17661,"G/F., 89 Wan Chai Road, Hong Kong",22.276516,114.1750012,0.1991661726374657,Wanchai
Wan Chai,"Shops G & H, G/F, New Spring Garden Mansion, Nos. 49 & 51 Spring Garden Lane, Wan Chai, Hong Kong",24 Hours,,,22.2752812,114.1724387,"Shop 1, Ground Floor, 112 Johnston Road, Hong Kong",22.2765046,114.1730614,0.149904130338832,Wanchai
Western,"Shop C, G/F, Koon Wah Building, Nos. 420-424 Queen’s Road West, Sai Wan, Hong Kong",24 Hours,,,22.2863484,114.1387564,"G/F., Nos. 333 & 335 Des Voeux Road West, Hong Kong",22.2875596,114.1386087,0.1349821434305077,Sai Wan
Aberdeen,"Portion of Shop No. 4, G/F, South Wave Court, No. 3 Shum Wan Road, Wong Chuk Hang, Hong Kong",,Monday to Friday: 0700-2300,Saturday: 0700-2300,22.2448246,114.1660206,No. WCH 8 at MTR Wong Chuk Hang Station,22.24818,114.16835,0.4423930388469018,Wong Chuk Hang
Western,Concession No. KET 3 at MTR Kennedy Town Station,,Monday to Friday: 0700-2300,Saturday: 0700-2300,22.2812467,114.1288825,"Shop B2 & Shop C G/F., Luen Wai Apartments, Nos. 136, 136A, 138, 140 & 142 Belcher??s Street, Nos. 7 & 7A Davis Street, Hong Kong",22.2822362,114.1270344,0.2197287352886577,Sai Wan
Western,Concession No. KET 6 at MTR Kennedy Town Station,,Monday to Friday: 0700-0000,Saturday: 0700-0000,22.2812467,114.1288825,"Shop B2 & Shop C G/F., Luen Wai Apartments, Nos. 136, 136A, 138, 140 & 142 Belcher??s Street, Nos. 7 & 7A Davis Street, Hong Kong",22.2822362,114.1270344,0.2197287352886577,Sai Wan
Western,Concession No. HKU 3 at MTR Hong Kong University Station,,Monday to Friday: 0700-2300,Saturday: 0700-2300,22.2829989,114.1370848,"G/F., Nos. 333 & 335 Des Voeux Road West, Hong Kong",22.2875596,114.1386087,0.5288794132974671,Sai Wan
Western,Concession No. HKU 4 at MTR Hong Kong University Station,,Monday to Friday: 0700-0000,Saturday: 0700-0000,22.2829989,114.1370848,"G/F., Nos. 333 & 335 Des Voeux Road West, Hong Kong",22.2875596,114.1386087,0.5288794132974671,Sai Wan
Western,Concession No. SYP 3 at MTR Sai Ying Pun Station,,Monday to Friday: 0700-2300,Saturday: 0700-2300,22.285533,114.142733,"Shop A G/F., No. 64 Centre Street, Hong Kong",22.284929,114.142068,0.0957596575522874,Western District
Western,Concession No. SYP 4 at MTR Sai Ying Pun Station,,Monday to Friday: 0700-0000,Saturday: 0700-0000,22.285533,114.142733,"Shop A G/F., No. 64 Centre Street, Hong Kong",22.284929,114.142068,0.0957596575522874,Western District
Shau Kei Wan,"Shop No. 5B, G/F, iUniQ, No. 305 Shau Kei Wan Road, Shau Kei Wan, Hong Kong",24 Hours,,,22.2773645,114.2270455,"No. H1, G/F., Fung Yuen Building, Nos. 388-414 Shau Kei Wan Road, Hong Kong",22.2773645,114.2270455,0.0,Shau Kei Wan
Wan Chai,"Shop B, Ground Floor and Cockloft, Cheong Hong Mansion, Nos. 25-33 Johnston Road, Wan Chai, Hong Kong",24 Hours,,,22.2772256,114.170549,"G/F & M/F, 38 Hennessy Rd, Wanchai, H.K.",22.2773896,114.1704959,0.0189670152139964,Wanchai
Shau Kei Wan,"Shop No. 7, G/F, Hoi Fung Centre, No. 2 Po Man Street, Shau Kei Wan, Hong Kong",24 Hours,,,22.2784189,114.228787,"No. H1, G/F., Fung Yuen Building, Nos. 388-414 Shau Kei Wan Road, Hong Kong",22.2773645,114.2270455,0.2141144058657793,Shau Kei Wan
Sheung Wan,"Shop No. 7, G/F, Welland Building, No. 368 Queen's Road Central, Hong Kong",24 Hours,,,22.2858348,114.149091,"Shop 11, 12 and 13, G/F., Western Market, 323 Des Voeux Road, Sheung Wan, Hong Kong",22.287287,114.150392,0.2093673537358163,Sheung Wan
Chai Wan,"Shop Unit G58A, G/F, Paradise Mall, Heng Fa Chuen, Hong Kong",24 Hours,,,22.2767315,114.2399396,Kiosk No. HFC5 & 6 Heng Fa Chuen Station,22.276657,114.239691,0.0269162857482562,Heng Fa Chuen
Admiralty,Kiosk No. ADM 23 at MTR Admiralty Station,,Monday to Friday: 0700-0000,Saturday: 0700-0000,22.279412,114.164559,"Shop No. F01-02, Lab Concept, 1/F Queensway Plaza, 93 Queensway, Hong Kong",22.278565,114.164798,0.0969720689832749,Queensway
North Point,"Shop No. 6, G/F, Cloudview Road Dairy Farm Shopping Centre, No. 33 Cloudview Road, North Point, Hong Kong",,Monday to Friday: 0800-2200,Saturday: 0800-2200,22.2856587,114.1962596,"G/F., No. 22 Fort Street, Hong Kong",22.2896055,114.1969904,0.4434868831384216,North Point
