Location,Address,Opening Hours,Latitude,Longitude,Closest_7_11_Add,7_11_Latitude,7_11_Longitude,Distance_km,Closest_7_11_Loc
Heng Fa Chuen,Kiosk No. HFC5 & 6 Heng Fa Chuen Station,06:00-23:00,22.276657,114.239691,"Shop Unit G58A, G/F, Paradise Mall, Heng Fa Chuen, Hong Kong",22.2767315,114.2399396,0.0269162857482562,Chai Wan
Happy Valley,"Shop B, G/F., The Exterior Elevations, Holley Mansion, Nos. 21-23 Wong Nai Chung Road, Hong Kong",06:00 - 00:00,22.2696221,114.1843662,"G/F and Cockloft together with the Yard on G/F of Winner House, No. 15 Wong Nai Chung Road, Hong Kong",22.2695641,114.1841804,0.0201979647385882,Happy Valley
AP Lei Chau,"Shop No. 2, G/F., East Commercial Block of South Horizons, No. 18A South Horizon Drive, Apleichau, Hong Kong",24 Hours,22.2433943,114.1483479,Concession No. SOH 1 at MTR South Horizons Station,22.2428603,114.1487444,0.0718831435486968,Aberdeen
Western District,"Shop A G/F., No. 64 Centre Street, Hong Kong",07:00 - 23:00,22.284929,114.142068,"Shop A, G/F, Fook Moon Building, Nos. 56-72 Third Street, Sai Wan, Hong Kong",22.2855391,114.1419613,0.068447898471629,Western
Wong Chuk Hang,Concession No. OCP 5 at MTR Ocean Park Station,"Monday - Saturday (07:00-19:00) , Sunday & Public Holiday (08:00-19:00)",22.2486966,114.1744429,Concession No. OCP 3 at MTR Ocean Park Station,22.2486966,114.1744429,0.0,Southern
Wong Chuk Hang,No. WCH 8 at MTR Wong Chuk Hang Station,07:00 – 22:00(Mon-Sat) 08:00 - 20:00 (Sun &Public Holiday),22.24818,114.16835,"Shop No. G10, Ground Floor, One Island South, No. 2 Heung Yip Road, Wong Chuk Hang, Hong Kong",22.2485555,114.1689398,0.0736563608882341,Aberdeen
Sai Ying Pun,"Shop A on G/F., & Cloak Room on LG/F., Kam Ning Mansion, Nos. 13 & 15 Bonham Road, Hong Kong",24 Hours,22.2845136,114.1429367,Concession No. SYP 3 at MTR Sai Ying Pun Station,22.285533,114.142733,0.1148177022343669,Western
Queensway,"Shop No. F01-02, Lab Concept, 1/F Queensway Plaza, 93 Queensway, Hong Kong","Monday - Friday (07:00-21:00) , Saturday -Sunday & Publice Holiday (08:00-21:00)",22.278565,114.164798,Kiosk No. ADM 23 at MTR Admiralty Station,22.279412,114.164559,0.0969720689832749,Admiralty
Ap Lei Chau,"Ground Floor, No. 85 Main Street Ap Lei Chau, Hong Kong",24 Hours,22.2438216,114.1553876,"Shop B, G/F, Coble Court, Nos. 127-139 Apleichau Main Street, Apleichau, Hong Kong",22.2435165,114.1544335,0.1039940817788377,Apleichau
Wan Chai,MTR Station Kiosk WAC 5 at MTR Wan Chai Station,07:00-22:00,22.277725,114.173198,"Shop A, G/F, No. 151 Lockhart Road, Wan Chai, Hong Kong",22.2783779,114.1733405,0.0737747690088118,Wan Chai
